User_name,Category,Comments,Comments_extra,Comments_merge,Comments_Cleaned,predicted_sentiment
Do Thi Thuyet,Màu : A05 - cam đỏ,,Bình thường,Bình thường,bình thường,Negative
Ly Phạm,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Tuyền Mèo,Màu : A11 - hồng cháy,,Bình thường,Bình thường,bình thường,Negative
Bắp Bắp,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Dương Lê,Màu : A10 - đỏ berry,,Rất không hài lòng,Rất không hài lòng,rất không hài lòng,Negative
Thanh Tâm,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
Võ Thị Ngọc Giàu,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Minh Ngn,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Thanh Dinh,Màu : A01- đỏ dâu,,Hài lòng,Hài lòng,hài lòng,Positive
Long Te,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Ngọc Phạm,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Hữu Lộc,Màu : A12 - nâu gạch,,Rất không hài lòng,Rất không hài lòng,rất không hài lòng,Negative
Tần Bi,Màu : A05 - cam đỏ,,Rất không hài lòng,Rất không hài lòng,rất không hài lòng,Negative
Nguyễn Thị Loàn,Màu : A19 - đỏ hồng tomato,,Bình thường,Bình thường,bình thường,Negative
Ngô An,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Do Minh Ngoc,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Cỏ Voi,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Thùy Duyên,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Kim Hồng,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Khánh Chi,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Le Quoc Thanh,Màu : A15 - nâu ánh đỏ,,Bình thường,Bình thường,bình thường,Negative
Thuy Trang,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Tống Thị Kim Gấm,Màu : A08 - cam bưởi đỏ,,Bình thường,Bình thường,bình thường,Negative
Nguyễn Thị Kim Tình,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Quang Minh,Màu : A21 - đỏ nâu ánh khói,,Hài lòng,Hài lòng,hài lòng,Positive
Đào Mai,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thủy Hồng,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Alyta Thảo,Màu : A19 - đỏ hồng tomato,,Bình thường,Bình thường,bình thường,Negative
Huỳnh Tuyền,Màu : A14 - đỏ đào trầm,,Hài lòng,Hài lòng,hài lòng,Positive
Ngọc Hân,Màu : A20 - đỏ tím cherry,,Hài lòng,Hài lòng,hài lòng,Positive
Oanh Kieu,Màu : A09 - hồng quế,,Hài lòng,Hài lòng,hài lòng,Positive
H Gương Long,Màu : A21 - đỏ nâu ánh khói,son nhanh trôi,Bình thường,son nhanh trôi,son nhanh trôi,Negative
Trần Thị Hoàng Trang,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Le Ton Nu Yen Phung,Màu : A01- đỏ dâu,.........ok đẹp,Hài lòng,.........ok đẹp,ok đẹp,Positive
Nguyễn Mỹ Ngọc,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Trang Le,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Thúy Bùi,Màu : A06 - đỏ nâu,,Bình thường,Bình thường,bình thường,Negative
Vương Vương Lê,Màu : A01- đỏ dâu,,Bình thường,Bình thường,bình thường,Negative
Cao Minh Thư,Màu : A15 - nâu ánh đỏ,ok,Hài lòng,ok,ok,Positive
Le Thu Phuong,Màu : A12 - nâu gạch,,Bình thường,Bình thường,bình thường,Negative
Phạm Đường Ngọc Dương,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Văn Hào,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Lý Hoàng Gia Mẫn,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Thái Thị Diễm Quỳnh,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Muội Hung Hăng,Màu : A12 - nâu gạch,tạm,Bình thường,tạm,tạm,Negative
Xuân Dương,Màu : A12 - nâu gạch,,Bình thường,Bình thường,bình thường,Negative
Minh Trí,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Quinn Mine,Màu : A12 - nâu gạch,,Bình thường,Bình thường,bình thường,Negative
Minh Thư,Màu : A20 - đỏ tím cherry,,Hài lòng,Hài lòng,hài lòng,Positive
Trịnh Minh Hòa,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
H Bng,Màu : A04 - đỏ thẫm,thơm mịn k chuẩn màu cho lắm,Hài lòng,thơm mịn k chuẩn màu cho lắm,thơm mịn không chuẩn màu cho lắm,Positive
Phan Ngô Minh Nhật,Màu : A01- đỏ dâu,,Bình thường,Bình thường,bình thường,Negative
Lê Nhi,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Như Ý Trần,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Văn Phú,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thị Thùy Linh,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Thủyy Chinhh,Màu : A09 - hồng quế,"Son dùng khô môi, bong da môi",Rất không hài lòng,"Son dùng khô môi, bong da môi",son dùng khô môi bong da môi,Positive
Nguyễn Hải Yến,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thu Trang,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Phan Ngô Minh Nhật,Màu : A03 - đỏ tươi,,Hài lòng,Hài lòng,hài lòng,Positive
Trịnh Thị Thu Hà,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Hue Nguyen,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Phạm Văn Đoàn,Màu : A12 - nâu gạch,,Bình thường,Bình thường,bình thường,Negative
Gam Le,Màu : A19 - đỏ hồng tomato,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Nhan,Màu : A09 - hồng quế,thất vọng,Rất không hài lòng,thất vọng,thất vọng,Negative
Bảo Quỳnh,Màu : A08 - cam bưởi đỏ,,Bình thường,Bình thường,bình thường,Negative
Nguyễn Văn Tuyền,Màu : A21 - đỏ nâu ánh khói,,Hài lòng,Hài lòng,hài lòng,Positive
Vũ Huy Hoàng,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Hoàng Tidus,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Đô YN,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Trần Thị Ngọc Trâm,Màu : A08 - cam bưởi đỏ,,Bình thường,Bình thường,bình thường,Negative
Nguyễn Liên,Màu : A03 - đỏ tươi,,Hài lòng,Hài lòng,hài lòng,Positive
Hoang Nguyen Van,Màu : A05 - cam đỏ,,Bình thường,Bình thường,bình thường,Negative
Hiền Thảo,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Vũ Thị Xuân,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyen Quynh Anh,Màu : A19 - đỏ hồng tomato,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Lê Thục Trinh,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
H H,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thị Yến Nhi,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Đừng Lùi Bước,Màu : A03 - đỏ tươi,,Hài lòng,Hài lòng,hài lòng,Positive
Đừng Lùi Bước,Màu : A03 - đỏ tươi,,Hài lòng,Hài lòng,hài lòng,Positive
Thắm Đỗ,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Phuong Tran,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Thu Minh,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Hạnh Hân,Màu : A02 - hoa hồng khô,,Bình thường,Bình thường,bình thường,Negative
Nguyễn Thị Ngọc Lan,Màu : A10 - đỏ berry,tương đố hài lòng về sản phẩm.,Hài lòng,tương đố hài lòng về sản phẩm.,tương đố hài lòng về sản phẩm,Positive
Duyên Bích,Màu : A20 - đỏ tím cherry,,Hài lòng,Hài lòng,hài lòng,Positive
Kim Liên,Màu : A12 - nâu gạch,son sài êm mịn,Hài lòng,son sài êm mịn,son xài êm mịn,Positive
Đỗ Thảo,Màu : A08 - cam bưởi đỏ,"chất son tốt , màu đẹp, ưng ý lắm nha",Hài lòng,"chất son tốt , màu đẹp, ưng ý lắm nha",chất son tốt màu đẹp ưng ý lắm nha,Positive
Hà Công,Màu : A01- đỏ dâu,,Hài lòng,Hài lòng,hài lòng,Positive
Nh Minh,Màu : A05 - cam đỏ,.,Bình thường,.,,Negative
Ngoc Nguyen,Màu : A05 - cam đỏ,màu này lên k dc chói sáng như mình mong đợi........,bình thường,màu này lên k dc chói sáng như mình mong đợi........,màu này lên không được chói sáng như mình mong đợi,Negative
Hồng Ngọc,Màu : A04 - đỏ thẫm,,Hài lòng,Hài lòng,hài lòng,Positive
Cao Huỳnh Thúy Ngân,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Ha Thien Tan,Màu : A08 - cam bưởi đỏ,son không được tươi như của mẫu đánh,Hài lòng,son không được tươi như của mẫu đánh,son không được tươi như của mẫu đánh,Negative
Nguyễn Duyên,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Bùi Lê Công Minh,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Bùi Lê Công Minh,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thị Lam,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Nu Em,Màu : A13 - nâu đỏ tươi,,Bình thường,Bình thường,bình thường,Negative
Nguyen Thi Vui,Màu : A09 - hồng quế,màu lên ko giống hình,Hài lòng,màu lên ko giống hình,màu lên không giống hình,Negative
Giang Nguyen,Màu : A19 - đỏ hồng tomato,,Hài lòng,Hài lòng,hài lòng,Positive
Phi Long,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thị Mơ,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyn Th Nhung,Màu : A10 - đỏ berry,"Dùng khá là thích ạ, mùi cucng ko hắc lắm",Hài lòng,"Dùng khá là thích ạ, mùi cucng ko hắc lắm",dùng khá là thích ạ mùi cucng không hắc lắm,Positive
Vi Mai,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
Như Quỳnh,Màu : A04 - đỏ thẫm,,Hài lòng,Hài lòng,hài lòng,Positive
Đỗ Nhị Khôi,Màu : A06 - đỏ nâu,uh,Bình thường,uh,ừ,Negative
Phí Thị Ngọc Mai,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Lê Mạnh Minh,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
Thuỷ Mai,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Tran Sarah,Màu : A10 - đỏ berry,Hàng đóng gói cẩn thận. Son thơm.,Hài lòng,Hàng đóng gói cẩn thận. Son thơm.,hàng đóng gói cẩn thận son thơm,Positive
Trúc Như,Màu : A01- đỏ dâu,,Hài lòng,Hài lòng,hài lòng,Positive
Mai Thơ,Màu : A21 - đỏ nâu ánh khói,,Hài lòng,Hài lòng,hài lòng,Positive
Ngô Phước Lợi,Màu : A09 - hồng quế,,Hài lòng,Hài lòng,hài lòng,Positive
Vũ Phương,Màu : A06 - đỏ nâu,"son dùng rất tốt 
ăn uống nhẹ vẫn còn lớp tint nhẹ",Hài lòng,"son dùng rất tốt 
ăn uống nhẹ vẫn còn lớp tint nhẹ",son dùng rất tốt ăn uống nhẹ vẫn còn lớp tint nhẹ,Positive
Lê Diệp Thu Trang,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Phạm Thị Kim Thoa,Màu : A01- đỏ dâu,"Ko đc lì lắm nhưng màu thời trang, nói chung tạm ổn",Son màu đẹp,"Ko đc lì lắm nhưng màu thời trang, nói chung tạm ổn",không được lì lắm nhưng màu thời trang nói chung tạm ổn,Positive
Trần Duyên,Màu : A01- đỏ dâu,,Hài lòng,Hài lòng,hài lòng,Positive
Trân Lê,Màu : A19 - đỏ hồng tomato,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thị Kim Sa,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
VolcanixAx,Màu : A19 - đỏ hồng tomato,,Hài lòng,Hài lòng,hài lòng,Positive
Phan Nguyễn Hoài An,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Đỗ Thị Hoài Thu,Màu : A01- đỏ dâu,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Linh,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Diệu Linh,Màu : A09 - hồng quế,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Hà,Màu : A19 - đỏ hồng tomato,,Hài lòng,Hài lòng,hài lòng,Positive
Đỗ Thị Thủy Tiên,Màu : A02 - hoa hồng khô,Son màu đẹp có mùi thơm dễ chịu,Hài lòng,Son màu đẹp có mùi thơm dễ chịu,son màu đẹp có mùi thơm dễ chịu,Positive
Bùi Xuân,Màu : A05 - cam đỏ,Giao hàng nhanh chóng. Đóng gói cẩn thận.,Hài lòng,Giao hàng nhanh chóng. Đóng gói cẩn thận.,giao hàng nhanh chóng đóng gói cẩn thận,Positive
Ngọc Yến,Màu : A04 - đỏ thẫm,,Hài lòng,Hài lòng,hài lòng,Positive
정민 Thanhman,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Trần Thảo,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Trần Trung Kiên,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Nhữ Thủy,Màu : A10 - đỏ berry,"mùi thơm nhẹ , màu đẹp , đóng gói cẩn thận",Hài lòng,"mùi thơm nhẹ , màu đẹp , đóng gói cẩn thận",mùi thơm nhẹ màu đẹp đóng gói cẩn thận,Positive
Nay Đảng,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Lan Nguyn,Màu : A03 - đỏ tươi,màu đẹp. lâu trôi. nó làm môi mình bị thâm,Bình thường,màu đẹp. lâu trôi. nó làm môi mình bị thâm,màu đẹp lâu trôi nó làm môi mình bị thâm,Negative
Nguyen Thi Hang,Màu : A13 - nâu đỏ tươi,,Hài lòng,Hài lòng,hài lòng,Positive
Ròm,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Dương Thị Thu Trinh,Màu : A02 - hoa hồng khô,"Chất son mịn nhưng không lì. Giá ổn        
Màu đẹp",Hài lòng,"Chất son mịn nhưng không lì. Giá ổn        
Màu đẹp",chất son mịn nhưng không lì giá ổn màu đẹp,Positive
Vũ Thị Thu Trang,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Vũ Thị Thu Trang,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Dũng Dũng,Màu : A21 - đỏ nâu ánh khói,,Hài lòng,Hài lòng,hài lòng,Positive
Hương Híp,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Trúc Trúc,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Tu Van Tran,Màu : A03 - đỏ tươi,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Thị Diễm,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Ngưu Ngưu,Màu : A10 - đỏ berry,"Màu son ko giống với ảnh, bị hụt hẫng...
huhuhuhuhu",Bình thường,"Màu son ko giống với ảnh, bị hụt hẫng...
huhuhuhuhu",màu son không giống với ảnh bị hụt hẫng huhuhuhuhu,Negative
Thị Lệ,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Tho Nguyen,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Lê Minh Thi,Màu : A21 - đỏ nâu ánh khói,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Lê Minh Thi,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
THAI CHI,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
To Hoai Xuyen,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Lt Thu,Màu : A02 - hoa hồng khô,"bình thường. dễ trôi, k lì như nhận xét của nhiều bạn",Bình thường,"bình thường. dễ trôi, k lì như nhận xét của nhiều bạn",bình thường dễ trôi không lì như nhận xét của nhiều bạn,Negative
Tân Tuấn An,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Vân Chi,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Trịnh Hoàng Hữu,Màu : A20 - đỏ tím cherry,Màu không như quảng cáo nhé!,Không hài lòng,Màu không như quảng cáo nhé!,màu không như quảng cáo nhé,Negative
Đỗ Lanh,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Võ Đặng Thùy Duyên,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Phạm Lan Phương,Màu : A13 - nâu đỏ tươi,Mùi khá khó chịu,Bình thường,Mùi khá khó chịu,mùi khá khó chịu,Negative
Nguyễn Lê Minh Thi,Màu : A04 - đỏ thẫm,,Hài lòng,Hài lòng,hài lòng,Positive
Trần Thị Ngân,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Hải Quỳnh,Màu : A04 - đỏ thẫm,,Hài lòng,Hài lòng,hài lòng,Positive
Lương Hồng Thanh,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Phạm Tuấn,Màu : A10 - đỏ berry,Son đẹpj đóng gói kỷ a giao hàng rất vui tính hàng giao nhanh,Hài lòng,Son đẹpj đóng gói kỷ a giao hàng rất vui tính hàng giao nhanh,son đẹpj đóng gói kỷ anh giao hàng rất vui tính hàng giao nhanh,Positive
Nguyễn Mai,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
L Qun,Màu : A03 - đỏ tươi,,Hài lòng,Hài lòng,hài lòng,Positive
Hạ Linh,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
Thị Mẹtt Nguyễn,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Lien Le,Màu : A21 - đỏ nâu ánh khói,,Hài lòng,Hài lòng,hài lòng,Positive
Trần Hồng,Màu : A03 - đỏ tươi,,Hài lòng,Hài lòng,hài lòng,Positive
Heo Nguyên,Màu : A08 - cam bưởi đỏ,Màu đẹp,Hài lòng,Màu đẹp,màu đẹp,Positive
Trịnh Thị Thu Hà,Màu : A04 - đỏ thẫm,,Hài lòng,Hài lòng,hài lòng,Positive
Miều Vỹ Cường,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Tài Khoản Zalo,Màu : A12 - nâu gạch,Son hơi khô môi nha mọi ng,Bình thường,Son hơi khô môi nha mọi ng,son hơi khô môi nha mọi người,Positive
BUI THI HAI VAN,Màu : A09 - hồng quế,,Hài lòng,Hài lòng,hài lòng,Positive
Hoang Yen,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Trần Thị Thu Chi,Màu : A08 - cam bưởi đỏ,k như hình. k nên mua sản phẩm,Rất không hài lòng,k như hình. k nên mua sản phẩm,không như hình không nên mua sản phẩm,Negative
Thuý Nguyễn,Màu : A01- đỏ dâu,Kem dễ trôi son,Hài lòng,Kem dễ trôi son,kem dễ trôi son,Negative
Minah Vo,Màu : A12 - nâu gạch,Son dùng khô môi lắm. Không thích,Không hài lòng,Son dùng khô môi lắm. Không thích,son dùng khô môi lắm không thích,Negative
Thiên Kim,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Bui Quoc,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Hayley Hang Nguyen,Màu : A05 - cam đỏ,Nhận hàng. Gói hàng cẩn thận. Hàng chất lượng. Giao hàng nhanh.,Son đẹp,Nhận hàng. Gói hàng cẩn thận. Hàng chất lượng. Giao hàng nhanh.,nhận hàng gói hàng cẩn thận hàng chất lượng giao hàng nhanh,Positive
Hoàng Thị Hồng,Màu : A02 - hoa hồng khô,Rat hai long minh da mua cay thu hai nhung mau nay ko tuoi bag màu A10,Hài lòng,Rat hai long minh da mua cay thu hai nhung mau nay ko tuoi bag màu A10,rat hai long minh da mua cay thu hai nhung mau nay không tuoi bag màu a10,Positive
Hà Thị Vĩnh Quý,Màu : A14 - đỏ đào trầm,màu son không như hình . thất vọng,Rất không hài lòng,màu son không như hình . thất vọng,màu son không như hình thất vọng,Negative
Thuyen Thuy,Màu : A08 - cam bưởi đỏ,So Ko khô môi nhưng dễ trôi,Hài lòng,So Ko khô môi nhưng dễ trôi,so không khô môi nhưng dễ trôi,Negative
LINH Hoàng,Màu : A07 - cam hồng,hàng đúng như mô tả,Hài lòng,hàng đúng như mô tả,hàng đúng như mô tả,Positive
Bùi Hiên,Màu : A06 - đỏ nâu,,Hài lòng,Hài lòng,hài lòng,Positive
Gin LE,Màu : A03 - đỏ tươi,ổn nhưng màu dễ lem,Bình thường,ổn nhưng màu dễ lem,ổn nhưng màu dễ lem,Positive
Thanh Diem,Màu : A02 - hoa hồng khô,,Hài lòng,Hài lòng,hài lòng,Positive
Bui Quoc,Màu : A07 - cam hồng,,Hài lòng,Hài lòng,hài lòng,Positive
Huỳnh Thị Mỹ Diệu,Màu : A05 - cam đỏ,"Tiền nào của nấy thôi, son không lỳ lắm nhưng mà thơm",Son thơm - không lỳ,"Tiền nào của nấy thôi, son không lỳ lắm nhưng mà thơm",tiền nào của nấy thôi son không lỳ lắm nhưng mà thơm,Negative
Nguyen Ngoc Phuong Quynh,Màu : A10 - đỏ berry,,Hài lòng,Hài lòng,hài lòng,Positive
Hunh Hong Chung,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Cát Tường,Màu : A11 - hồng cháy,,Hài lòng,Hài lòng,hài lòng,Positive
Phan Quỳnh,Màu : A20 - đỏ tím cherry,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Văn Tuấn,Màu : A10 - đỏ berry,Chất lượng sản phẩm rất tốt ! Giao hàng nhanh !!!,Hài lòng,Chất lượng sản phẩm rất tốt ! Giao hàng nhanh !!!,chất lượng sản phẩm rất tốt giao hàng nhanh,Positive
Bùi Ngọc Như,Màu : A08 - cam bưởi đỏ,Màu thật với màu trên ảnh không liên quan đến nhau,Rất không hài lòng,Màu thật với màu trên ảnh không liên quan đến nhau,màu thật với màu trên ảnh không liên quan đến nhau,Negative
Dương Thiet,Màu : A01- đỏ dâu,"Màu đẹp ,dùng k khô môi ,b nào muốn răng trắng hơn thì dùng màu này nhé",Hài lòng,"Màu đẹp ,dùng k khô môi ,b nào muốn răng trắng hơn thì dùng màu này nhé",màu đẹp dùng không khô môi b nào muốn răng trắng hơn thì dùng màu này nhé,Positive
Đinh Vũ Mai Thy,Màu : A09 - hồng quế,,Hài lòng,Hài lòng,hài lòng,Positive
Đinh Vũ Mai Thy,Màu : A19 - đỏ hồng tomato,,Hài lòng,Hài lòng,hài lòng,Positive
Anna,Màu : A19 - đỏ hồng tomato,tốt,Hài lòng,tốt,tốt,Positive
Đặng Bảo Ngọc,Màu : A12 - nâu gạch,,Hài lòng,Hài lòng,hài lòng,Positive
Thuận CaRo,Màu : A12 - nâu gạch,,Không hài lòng,Không hài lòng,không hài lòng,Negative
Phung Thi Phuong Tam,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Phan Văn Thịnh,Màu : A07 - cam hồng,ok,Hài lòng,ok,ok,Positive
Phm Thng,Màu : A10 - đỏ berry,Son kem lì nhanh khô nhanh bay màu mình mua cây A10 không được lâu nhanh mất màu son,Son kem lì,Son kem lì nhanh khô nhanh bay màu mình mua cây A10 không được lâu nhanh mất màu son,son kem lì nhanh khô nhanh bay màu mình mua cây a10 không được lâu nhanh mất màu son,Positive
Nguyễn Dương,Màu : A07 - cam hồng,"tệ vô cùng, không chấp nhận nổi",Rất không hài lòng,"tệ vô cùng, không chấp nhận nổi",tệ vô cùng không chấp nhận nổi,Negative
Lê Đặng Huy Hoàng,Màu : A12 - nâu gạch,Đã mua cho ny và đánh giá khá ổn,Hài lòng,Đã mua cho ny và đánh giá khá ổn,đã mua cho người yêu và đánh giá khá ổn,Positive
Nguyễn Dung,Màu : A08 - cam bưởi đỏ,Mùi thơm nhưng bị khô môi.,Hài lòng,Mùi thơm nhưng bị khô môi.,mùi thơm nhưng bị khô môi,Negative
Kim Anh,Màu : A07 - cam hồng,quá ok,Hài lòng,quá ok,quá ok,Positive
Nguyễn Lê Trọng Nghĩa,Màu : A08 - cam bưởi đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Nguyễn Hiếu,Màu : A05 - cam đỏ,,Hài lòng,Hài lòng,hài lòng,Positive
Tien Nguyen,Màu : A01- đỏ dâu,"được cái giao hàng nhanh ,son thơm , mịn phù hợp tầm giá",Hài lòng,"được cái giao hàng nhanh ,son thơm , mịn phù hợp tầm giá",được cái giao hàng nhanh son thơm mịn phù hợp tầm giá,Positive
Van Anh Nguyen,Màu : A10 - đỏ berry,Sp dung cung bt. Do mau k thich lam,Không hài lòng,Sp dung cung bt. Do mau k thich lam,sản phẩm dung cung bt do mau không thích lam,Positive
Trần Thị Kim Chi,Màu : A01- đỏ dâu,"Giao hàng nhanh, đúng màu, màu son lên môi đẹp, khá bền màu",Hài lòng,"Giao hàng nhanh, đúng màu, màu son lên môi đẹp, khá bền màu",giao hàng nhanh đúng màu màu son lên môi đẹp khá bền màu,Positive
Anh Hoàng,Màu : A06 - đỏ nâu,rất hài lòng đẹp giao hàng tận nơi,Bình thường,rất hài lòng đẹp giao hàng tận nơi,rất hài lòng đẹp giao hàng tận nơi,Positive
