User_name,Category,Comments,Comments_extra,Comments_merge,Comments_Cleaned,predicted_sentiment
Hiền Phan,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phương Nhi,Màu : A12 - nâu gạch,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phạm Trịnh Kiều Đang,Màu : A12 - nâu gạch,❤️,Cực kì hài lòng,❤️,,Negative
Thu Nguyễn,Màu : A04 - đỏ thẫm,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Thị Tường Vy,Màu : A02 - hoa hồng khô,mùi thơm,Cực kì hài lòng,mùi thơm,mùi thơm,Positive
Nguyễn Thị Cẩm Như,Màu : A09 - hồng quế,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tấn Phát,Màu : A05 - cam đỏ,tôi thích sản phẩm này,Cực kì hài lòng,tôi thích sản phẩm này,tôi thích sản phẩm này,Positive
Trần Kiều,Màu : A14 - đỏ đào trầm,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Trần Kiều,Màu : A21 - đỏ nâu ánh khói,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Trọng Hiếu,Màu : A02 - hoa hồng khô,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Hồng Thúy,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Phạm Trọng Hiếu,Màu : A07 - cam hồng,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
TRAN THI NGOC THUONG,Màu : A01- đỏ dâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
HỒ KHOA,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
HỒ KHOA,Màu : A04 - đỏ thẫm,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Hà Trang,Màu : A06 - đỏ nâu,Son dùng ok,Cực kì hài lòng,Son dùng ok,son dùng ok,Positive
Trần Kiều,Màu : A02 - hoa hồng khô,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tân Dang,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyệt Nguyễn,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Tran Thanh Tuyền,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Thanh Tuyền,Màu : A06 - đỏ nâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Thanh Tuyền,Màu : A05 - cam đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Loan Nguyen,Màu : A01- đỏ dâu,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Khánh Bùi,Màu : A15 - nâu ánh đỏ,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Nguyễn Văn Phú,Màu : A07 - cam hồng,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Ngọc Huyền,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Lê Thị Ái Ngọc,Màu : A02 - hoa hồng khô,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
Zadez Việt Nam,Màu : A10 - đỏ berry,,Cực kì hài lòng,Cực kì hài lòng,cực kì hài lòng,Positive
